title,session,authors,affiliations,pdf_url
A Unified Model for Line Projections in Catadioptric Cameras With Rotationally Symmetric Mirrors,3D From Multi-View & Sensors,"['Pedro Miraldo', 'Jos\\u00e9 Pedro Iglesias']",['MERL'],https://openaccess.thecvf.com/content/CVPR2022/papers/Miraldo_A_Unified_Model_for_Line_Projections_in_Catadioptric_Cameras_With_CVPR_2022_paper.pdf
A Unified Query-Based Paradigm for Point Cloud Understanding,3D From Multi-View & Sensors,"['Zetong Yang', 'Li Jiang']",['CUHK'],https://openaccess.thecvf.com/content/CVPR2022/papers/Yang_A_Unified_Query-Based_Paradigm_for_Point_Cloud_Understanding_CVPR_2022_paper.pdf
ActiveZero: Mixed Domain Learning for Active Stereovision With Zero Annotation,3D From Multi-View & Sensors,"['Isabella Liu', 'Edward Yang']",['UCSD'],https://openaccess.thecvf.com/content/CVPR2022/papers/Liu_ActiveZero_Mixed_Domain_Learning_for_Active_Stereovision_With_Zero_Annotation_CVPR_2022_paper.pdf
AirObject: A Temporally Evolving Graph Embedding for Object Identification,3D From Multi-View & Sensors,"['Nikhil Varma Keetha', 'Chen Wang']",['CMU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Keetha_AirObject_A_Temporally_Evolving_Graph_Embedding_for_Object_Identification_CVPR_2022_paper.pdf
Attention Concatenation Volume for Accurate and Efficient Stereo Matching,3D From Multi-View & Sensors,"['Gangwei Xu', 'Junda Cheng']",['HUST'],https://openaccess.thecvf.com/content/CVPR2022/papers/Xu_Attention_Concatenation_Volume_for_Accurate_and_Efficient_Stereo_Matching_CVPR_2022_paper.pdf
AziNorm: Exploiting the Radial Symmetry of Point Cloud for Azimuth-Normalized 3D Perception,3D From Multi-View & Sensors,"['Shaoyu Chen', 'Xinggang Wang']",['HUST'],https://openaccess.thecvf.com/content/CVPR2022/papers/Chen_AziNorm_Exploiting_the_Radial_Symmetry_of_Point_Cloud_for_Azimuth-Normalized_CVPR_2022_paper.pdf
Back to Reality: Weakly-Supervised 3D Object Detection With Shape-Guided Label Enhancement,3D From Multi-View & Sensors,"['Xiuwei Xu', 'Yifan Wang']",['Tsinghua'],https://openaccess.thecvf.com/content/CVPR2022/papers/Xu_Back_to_Reality_Weakly-Supervised_3D_Object_Detection_With_Shape-Guided_Label_CVPR_2022_paper.pdf
BEHAVE: Dataset and Method for Tracking Human Object Interactions,3D From Multi-View & Sensors,"['Bharat Lal Bhatnagar', 'Xianghui Xie']",['Uni'],https://openaccess.thecvf.com/content/CVPR2022/papers/Bhatnagar_BEHAVE_Dataset_and_Method_for_Tracking_Human_Object_Interactions_CVPR_2022_paper.pdf
BNV-Fusion: Dense 3D Reconstruction Using Bi-Level Neural Volume Fusion,3D From Multi-View & Sensors,"['Kejie Li', 'Yansong Tang']",['Oxford'],https://openaccess.thecvf.com/content/CVPR2022/papers/Li_BNV-Fusion_Dense_3D_Reconstruction_Using_Bi-Level_Neural_Volume_Fusion_CVPR_2022_paper.pdf
Camera Pose Estimation Using Implicit Distortion Models,3D From Multi-View & Sensors,"['Linfei Pan', 'Marc Pollefeys']",['ETHZ'],https://openaccess.thecvf.com/content/CVPR2022/papers/Pan_Camera_Pose_Estimation_Using_Implicit_Distortion_Models_CVPR_2022_paper.pdf
Contrastive Boundary Learning for Point Cloud Segmentation,3D From Multi-View & Sensors,"['Liyao Tang', 'Yibing Zhan']",['USYD'],https://openaccess.thecvf.com/content/CVPR2022/papers/Tang_Contrastive_Boundary_Learning_for_Point_Cloud_Segmentation_CVPR_2022_paper.pdf
Critical Regularizations for Neural Surface Reconstruction in the Wild,3D From Multi-View & Sensors,"['Jingyang Zhang', 'Yao Yao']",['HKUST'],https://openaccess.thecvf.com/content/CVPR2022/papers/Zhang_Critical_Regularizations_for_Neural_Surface_Reconstruction_in_the_Wild_CVPR_2022_paper.pdf
Deblur-NeRF: Neural Radiance Fields From Blurry Images,3D From Multi-View & Sensors,"['Li Ma', 'Xiaoyu Li']",['HKUST'],https://openaccess.thecvf.com/content/CVPR2022/papers/Ma_Deblur-NeRF_Neural_Radiance_Fields_From_Blurry_Images_CVPR_2022_paper.pdf
Decoupling Makes Weakly Supervised Local Feature Better,3D From Multi-View & Sensors,"['Kunhong Li', 'Longguang Wang']",['SYSU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Decoupling_Makes_Weakly_Supervised_Local_Feature_Better_CVPR_2022_paper.pdf
Degradation-Agnostic Correspondence From Resolution-Asymmetric Stereo,3D From Multi-View & Sensors,"['Xihao Chen', 'Zhiwei Xiong']",['USTC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Chen_Degradation-Agnostic_Correspondence_From_Resolution-Asymmetric_Stereo_CVPR_2022_paper.pdf
Dense Depth Priors for Neural Radiance Fields From Sparse Input Views,3D From Multi-View & Sensors,"['Barbara Roessle', 'Jonathan T. Barron']",['TUM'],https://openaccess.thecvf.com/content/CVPR2022/papers/Roessle_Dense_Depth_Priors_for_Neural_Radiance_Fields_From_Sparse_Input_CVPR_2022_paper.pdf
Depth-Guided Sparse Structure-From-Motion for Movies and TV Shows,3D From Multi-View & Sensors,"['Sheng Liu', 'Xiaohan Nie']",['UB'],https://openaccess.thecvf.com/content/CVPR2022/papers/Liu_Depth-Guided_Sparse_Structure-From-Motion_for_Movies_and_TV_Shows_CVPR_2022_paper.pdf
Depth-Supervised NeRF: Fewer Views and Faster Training for Free,3D From Multi-View & Sensors,"['Kangle Deng', 'Andrew Liu']",['CMU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Deng_Depth-Supervised_NeRF_Fewer_Views_and_Faster_Training_for_Free_CVPR_2022_paper.pdf
Deterministic Point Cloud Registration via Novel Transformation Decomposition,3D From Multi-View & Sensors,"['Wen Chen', 'Haoang Li']",['CUHK'],https://openaccess.thecvf.com/content/CVPR2022/papers/Chen_Deterministic_Point_Cloud_Registration_via_Novel_Transformation_Decomposition_CVPR_2022_paper.pdf
Differentiable Stereopsis: Meshes From Multiple Views Using Differentiable Rendering,3D From Multi-View & Sensors,"['Shubham Goel', 'Georgia Gkioxari']",['UC'],https://openaccess.thecvf.com/content/CVPR2022/papers/Goel_Differentiable_Stereopsis_Meshes_From_Multiple_Views_Using_Differentiable_Rendering_CVPR_2022_paper.pdf
Direct Voxel Grid Optimization: Super-Fast Convergence for Radiance Fields Reconstruction,3D From Multi-View & Sensors,"['Cheng Sun', 'Min Sun']",['NTHU'],https://openaccess.thecvf.com/content/CVPR2022/papers/Sun_Direct_Voxel_Grid_Optimization_Super-Fast_Convergence_for_Radiance_Fields_Reconstruction_CVPR_2022_paper.pdf
Discrete Time Convolution for Fast Event-Based Stereo,3D From Multi-View & Sensors,"['Kaixuan Zhang', 'Kaiwei Che']",['SUSTech'],https://openaccess.thecvf.com/content/CVPR2022/papers/Zhang_Discrete_Time_Convolution_for_Fast_Event-Based_Stereo_CVPR_2022_paper.pdf
